scientificName,phyloTreeTipLabel,phyloTreeFileName,dynamicProperties,^ot:ottId,^ot:taxonLink,^skos:prefLabel,^ot:ottTaxonName,^ot:originalLabel
Tzeltalia amphitricha,Tzeltalia amphitricha,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Tzeltalia amphitricha', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Tzeltalia amphitricha', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",839486,"{'@tb:identifier.taxon': 30161, '@tb:identifier.taxonVariant': 70420, '@ubio': '5981228', '@uniprot': '304114'}",,Tzeltalia amphitricha,Tzeltalia amphitricha
Solanum lanceifolium,Solanum lanceifolium,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum lanceifolium', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum lanceifolium', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",464542,"{'@tb:identifier.taxon': 604560, '@tb:identifier.taxonVariant': 806752, '@ubio': '2653561'}",,Solanum lanceifolium,Solanum lanceifolium
Trianaea speciosa,Trianaea speciosa,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Trianaea speciosa', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Trianaea speciosa', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",5521814,"{'@tb:identifier.taxon': 619641, '@tb:identifier.taxonVariant': 829729, '@ubio': '9185106'}",,Trianaea speciosa,Trianaea speciosa
Nolana inflata,Nolana inflata,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Nolana inflata', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Nolana inflata', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",899680,"{'@tb:identifier.taxon': 95040, '@tb:identifier.taxonVariant': 174211, '@ubio': '5957963', '@uniprot': '84190'}",,Nolana inflata,Nolana inflata
Solanum aphyodendron,Solanum aphyodendron,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum aphyodendron', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum aphyodendron', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",311886,"{'@tb:identifier.taxon': 27128, '@tb:identifier.taxonVariant': 63349, '@ubio': '5970588', '@uniprot': '205530'}",,Solanum aphyodendron,Solanum aphyodendron
Solanum fructo-tecto,Solanum fructotecto,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum fructotecto', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum fructotecto', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",348206,,,Solanum fructo-tecto,Solanum fructotecto
Lycium schweinfurthii,Lycium schweinfurthii,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Lycium schweinfurthii', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Lycium schweinfurthii', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",86088,"{'@tb:identifier.taxon': 362385, '@tb:identifier.taxonVariant': 390419, '@ubio': '5944246', '@uniprot': '416539'}",,Lycium schweinfurthii,Lycium schweinfurthii
Cestrum macrophyllum,Cestrum macrophyllum,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Cestrum macrophyllum', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Cestrum macrophyllum', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",445283,"{'@tb:identifier.taxon': 429008, '@tb:identifier.taxonVariant': 565197, '@ubio': '2771308', '@uniprot': '540795'}",,Cestrum macrophyllum,Cestrum macrophyllum
Solanum paludosum,Solanum paludosum,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum paludosum', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum paludosum', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",766363,"{'@tb:identifier.taxon': 604564, '@tb:identifier.taxonVariant': 806756, '@ubio': '3440549'}",,Solanum paludosum,Solanum paludosum
Lycium depressum,Lycium depressum,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Lycium depressum', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Lycium depressum', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",660399,"{'@tb:identifier.taxon': 362374, '@tb:identifier.taxonVariant': 390402, '@ubio': '5892488', '@uniprot': '416528'}",,Lycium depressum,Lycium depressum
Solanum tenuispinum,Solanum tenuispinum,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum tenuispinum', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum tenuispinum', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",510734,"{'@tb:identifier.taxon': 27279, '@tb:identifier.taxonVariant': 63659, '@ubio': '3440435', '@uniprot': '238979'}",,Solanum tenuispinum,Solanum tenuispinum
Solanum hexandrum,Solanum hexandrum,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum hexandrum', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum hexandrum', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",991004,"{'@tb:identifier.taxon': 604535, '@tb:identifier.taxonVariant': 806727, '@ubio': '3440682'}",,Solanum hexandrum,Solanum hexandrum
Deprea parviflora,Larnax parviflora,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Larnax parviflora', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Larnax parviflora', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",903496,"{'@tb:identifier.taxon': 118760, '@tb:identifier.taxonVariant': 197110, '@ubio': '5960791', '@uniprot': '115734'}",,Deprea parviflora,Larnax parviflora
Solanum tobagense,Solanum tobagense,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum tobagense', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum tobagense', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",509416,"{'@tb:identifier.taxon': 40218, '@tb:identifier.taxonVariant': 93354, '@ubio': '5993470', '@uniprot': '265419'}",,Solanum tobagense,Solanum tobagense
Nolana ramosissima,Nolana ramosissima,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Nolana ramosissima', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Nolana ramosissima', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",1001613,"{'@tb:identifier.taxon': 95046, '@tb:identifier.taxonVariant': 174217, '@ubio': '5991346', '@uniprot': '84196'}",,Nolana ramosissima,Nolana ramosissima
