scientificName,phyloTreeTipLabel,phyloTreeFileName,^skos:prefLabel,^ot:originalLabel,^ot:ottTaxonName,^ot:taxonLink,^ot:ottId
Datura ceratocaula,Datura ceratocaula,ot_1003_Tr100305.nex,-,Datura ceratocaula,Datura ceratocaula,"{'@tb:identifier.taxon': 615221, '@tb:identifier.taxonVariant': 822780, '@ubio': '5832826'}",644781
Solanum gympiense,Solanum gympiense,ot_1003_Tr100305.nex,-,Solanum gympiense,Solanum gympiense,"{'@tb:identifier.taxon': 619567, '@tb:identifier.taxonVariant': 829646, '@ubio': '8636062'}",294705
Solanum hyporhodium,Solanum hyporhodium,ot_1003_Tr100305.nex,-,Solanum hyporhodium,Solanum hyporhodium,"{'@tb:identifier.taxon': 27193, '@tb:identifier.taxonVariant': 63483, '@ubio': '2669872', '@uniprot': '227726'}",835540
Solanum oxyphyllum,Solanum oxyphyllum,ot_1003_Tr100305.nex,-,Solanum oxyphyllum,Solanum oxyphyllum,"{'@tb:identifier.taxon': 40217, '@tb:identifier.taxonVariant': 93351, '@ubio': '3440460', '@uniprot': '265407'}",1035625
Lycium chanar,Lycium chanar,ot_1003_Tr100305.nex,-,Lycium chanar,Lycium chanar,"{'@tb:identifier.taxon': 362372, '@tb:identifier.taxonVariant': 390398, '@ubio': '9167061', '@uniprot': '416526'}",660384
Hyoscyamus pusillus,Hyoscyamus pusillus,ot_1003_Tr100305.nex,-,Hyoscyamus pusillus,Hyoscyamus pusillus,"{'@tb:identifier.taxon': 429016, '@tb:identifier.taxonVariant': 565212, '@ubio': '5839494', '@uniprot': '540805'}",434585
Anisodus tanguticus,Anisodus tanguticus,ot_1003_Tr100305.nex,-,Anisodus tanguticus,Anisodus tanguticus,"{'@tb:identifier.taxon': 220192, '@tb:identifier.taxonVariant': 286516, '@ubio': '5974902', '@uniprot': '243964'}",660902
Physalis nicandroides,Physalis nicandroides,ot_1003_Tr100305.nex,-,Physalis nicandroides,Physalis nicandroides,"{'@tb:identifier.taxon': 22182, '@tb:identifier.taxonVariant': 51580, '@ubio': '5863691', '@uniprot': '304159'}",940407
Cestrum pacayense,Cestrum pacayense,ot_1003_Tr100305.nex,-,Cestrum pacayense,Cestrum pacayense,"{'@tb:identifier.taxon': 36730, '@tb:identifier.taxonVariant': 85009, '@ubio': '9138153', '@uniprot': '385337'}",317959
Solanum bulbocastanum,Solanum bulbocastanum,ot_1003_Tr100305.nex,-,Solanum bulbocastanum,Solanum bulbocastanum,"{'@tb:identifier.taxon': 632166, '@tb:identifier.taxonVariant': 847178, '@ubio': '476056', '@uniprot': '147425'}",475230
