otuId,scientificName,phyloTreeTipLabel,phyloTreeFileName,dynamicProperties,^ot:ottTaxonName,^ot:ottId,^ot:originalLabel
otu3320,Auriparus flaviceps,Auriparus flaviceps,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Auriparus flaviceps', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Auriparus flaviceps,1093469,Auriparus flaviceps
otu3321,Petroica boodang,Petroica boodang,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Petroica boodang', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Petroica boodang,172679,Petroica boodang
otu3322,Petroica phoenicea,Petroica phoenicea,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Petroica phoenicea', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Petroica phoenicea,172677,Petroica phoenicea
otu3323,Petroica macrocephala,Petroica macrocephala,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Petroica macrocephala', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Petroica macrocephala,995906,Petroica macrocephala
otu3324,Petroica traversi,Petroica traversi,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Petroica traversi', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Petroica traversi,918823,Petroica traversi
otu3325,Petroica australis,Petroica australis,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Petroica australis', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Petroica australis,421948,Petroica australis
otu3326,Petroica rosea,Petroica rosea,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Petroica rosea', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Petroica rosea,282510,Petroica rosea
otu3327,Eugerygone rubra,Eugerygone rubra,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Eugerygone rubra', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Eugerygone rubra,965237,Eugerygone rubra
otu3328,Petroica rodinogaster,Petroica rodinogaster,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Petroica rodinogaster', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Petroica rodinogaster,172674,Petroica rodinogaster
otu3329,Petroica multicolor,Petroica multicolor,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Petroica multicolor', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Petroica multicolor,474164,Petroica multicolor
